,FCLTY_NM,LCLAS_NM,ZIP_NO,FCLTY_ROAD_NM_ADDR,lat,lon,OPTN_DC,ADIT_DC,AREA
586,구로구다문화북카페,북카페,8281.0,서울특별시 구로구 벚꽃로 484,37.49732865,126.8801331,독서활동 장소,카페 : 있음,서울
587,카페화음,북카페,8261.0,서울특별시 구로구 부일로1길 62 온수골사랑터 1층 카페 화음,37.4932867,126.8190653,"온수동 주민들이 함께 운영하는 카페, 아이들과 함께 이용할 수 있는 사랑터","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음",서울
588,배고픈사자,북카페,8343.0,서울특별시 구로구 오류로 54-3,37.48984639,126.8402184,키즈북카페,"화장실 남녀구분 : 구분, 카페 : 있음",서울
589,카페시우,북카페,8546.0,서울특별시 금천구 독산로85길 15-1,37.47224075,126.9022567,독서활동 장소,카페 : 있음,서울
590,동네책방 원테이블,일반서점,8649.0,서울특별시 금천구 독산로8길 14,37.44935309,126.906304,무료로 읽을 수 있는 도서 및 보드게임 보유. 도서 주문 및 구매 가능,카페 : 있음,서울
591,카페 베르데,카페,1898.0,서울특별시 노원구 광운로 17-3,37.61929619,127.0575923,"1층뿐만 아니라 지하 1층의 넓은 공간에 많은 자리, 스터디나 과모임 황동에 최적",카페 : 있음,서울
592,놀숲 수락산역점,만화방,1604.0,서울특별시 노원구 동일로 1689 하이베라스 2층,37.67912042,127.0549508,"일상에 즐거운 경험을 더하는 문화공간 카툰앤북카페, 편안한 좌석에서 맛있는 음식과 함께 책도 볼 수 있는 멀티 엔터테인먼트","화장실 남녀구분 : 구분, 카페 : 있음",서울
593,책인감,일반서점,1846.0,서울특별시 노원구 동일로182길 63-1 2층,37.62358983,127.0775411,동네책방이자 카페,카페 : 있음,서울
594,놀숲 노원역점,만화방,1694.0,서울특별시 노원구 상계로 59 2층,37.65616099,127.061516,"일상에 즐거운 경험을 더하는 문화공간 카툰앤북카페, 편안한 좌석에서 맛있는 음식과 함께 책도 볼 수 있는 멀티 엔터테인먼트","화장실 남녀구분 : 구분, 카페 : 있음",서울
595,놀숲 중계은행사거리점,만화방,1743.0,서울특별시 노원구 한글비석로 231 지하1층,37.64821336,127.0763149,"일상에 즐거운 경험을 더하는 문화공간 카툰앤북카페, 편안한 좌석에서 맛있는 음식과 함께 책도 볼 수 있는 멀티 엔터테인먼트","화장실 남녀구분 : 구분, 카페 : 있음",서울
596,도봉북카페,북카페,1485.0,서울특별시 도봉구 덕릉로 315,37.64422452,127.0438592,-,"카페 : 있음, 리뷰여부 : 있음",서울
597,헤이제이,북카페,1426.0,서울특별시 도봉구 도봉로 566,37.6553466,127.0391154,-,카페 : 있음,서울
598,7월1일,북카페,1309.0,서울특별시 도봉구 도봉로157길 11 1층,37.67344507,127.0433913,"핸드드립 커피메이커만을 사용, 집에서 남아도는 책 기부 받음, 전자책 만들어드림","주차 : 가능, 카페 : 있음",서울
599,창포원북카페비비다이어리,카페,1318.0,서울특별시 도봉구 마들로 916 방문자센타 2층,37.68953937,127.0471617,독서활동 장소,카페 : 있음,서울
600,북카페,북카페,2565.0,서울특별시 동대문구 고산자로28길 13 (용두동) 2층,37.5753223,127.0391724,독서활동 장소,"카페 : 있음, 리뷰여부 : 있음",서울
601,카툰 & 북카페 아지트,만화방,2499.0,서울특별시 동대문구 망우로18가길 3,37.58931415,127.0624493,"시립대 주변 아늑한 만화카페, 연인들 데이트 코스","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음",서울
602,카페다니엘,북카페,2474.0,서울특별시 동대문구 안암로 122,37.58609764,127.0327787,독서활동 장소,"카페 : 있음, 리뷰여부 : 있음",서울
603,동네책방,북카페,2578.0,서울특별시 동대문구 안암로6길 19 1층,37.57915463,127.0259208,"다양한 사람들이 모여 스스로 배우고, 서로를 살리며, 도시 속에서 이웃과 함께 즐겁게 살아가는 방식을 실험해가는 창의적 공유지","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음",서울
604,이문일공칠,일반서점,2450.0,서울특별시 동대문구 이문로 107 한국외대 교수회관 1층,37.5979456,127.056986,"지역 대학, 기관 연계 지식, 교양, 창업, 전시, 공연 등의 프로그램을 운영","화장실 남녀구분 : 구분, 카페 : 있음",서울
605,장안벚꽃길,북카페,2637.0,서울특별시 동대문구 장한로26길 85,37.57146861,127.0763544,독서활동 장소,카페 : 있음,서울
606,놀숲 외대후문점,만화방,2449.0,서울특별시 동대문구 천장산로7길 4 2층,37.59871945,127.0575485,"일상에 즐거운 경험을 더하는 문화공간 카툰앤북카페, 편안한 좌석에서 맛있는 음식과 함께 책도 볼 수 있는 멀티 엔터테인먼트","화장실 남녀구분 : 구분, 카페 : 있음",서울
607,다누리북카페,북카페,2597.0,서울특별시 동대문구 천호대로65길 17 답십리청소년독서실,37.57099235,127.0490546,독서활동 장소,카페 : 있음,서울
608,너나들이 만화카페,북카페,2454.0,서울특별시 동대문구 회기로13길 19 지층 너나들이 만화카페,37.59230605,127.0508757,만화카페,"주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음",서울
609,놀숲 경희대점,만화방,2454.0,서울특별시 동대문구 회기로13길 6 지층,37.59172425,127.0510711,"일상에 즐거운 경험을 더하는 문화공간 카툰앤북카페, 편안한 좌석에서 맛있는 음식과 함께 책도 볼 수 있는 멀티 엔터테인먼트","화장실 남녀구분 : 구분, 카페 : 있음",서울
610,놀숲 노량진점,만화방,6913.0,서울특별시 동작구 노량진로 176 B1,37.51345539,126.9454987,"일상에 즐거운 경험을 더하는 문화공간 카툰앤북카페, 편안한 좌석에서 맛있는 음식과 함께 책도 볼 수 있는 멀티 엔터테인먼트","화장실 남녀구분 : 구분, 카페 : 있음",서울
611,놀숲 이수역점,만화방,7008.0,서울특별시 동작구 동작대로27길 5 지안플라자 지하1층,37.48735785,126.9814938,"일상에 즐거운 경험을 더하는 문화공간 카툰앤북카페, 편안한 좌석에서 맛있는 음식과 함께 책도 볼 수 있는 멀티 엔터테인먼트","화장실 남녀구분 : 구분, 카페 : 있음",서울
612,지금의 세상,일반서점,7025.0,서울특별시 동작구 동작대로3길 41 1층,37.47867443,126.9791992,인스타 오픈 시간 확인. 마음을 어루만져줄 책들 준비,카페 : 있음,서울
613,M&H Books,북카페,7015.0,서울특별시 동작구 동작대로3길 6,37.47850715,126.9811295,독서활동 장소,카페 : 있음,서울
614,놀숲 보라매점,만화방,7071.0,서울특별시 동작구 보라매로5가길 16 6층,37.49127429,126.9240942,"일상에 즐거운 경험을 더하는 문화공간 카툰앤북카페, 편안한 좌석에서 맛있는 음식과 함께 책도 볼 수 있는 멀티 엔터테인먼트","화장실 남녀구분 : 구분, 카페 : 있음",서울
615,쉼표 만화카페,북카페,7008.0,서울특별시 동작구 사당로 295 b1,37.48508111,126.9802837,"이색데이트공간 만화카페, 3만 6천권 도서 보유, 100평 규모의 넓이","화장실 남녀구분 : 구분, 카페 : 있음",서울
616,쉼표숭실대점,북카페,7027.0,서울특별시 동작구 사당로 4,37.49540648,126.9548541,만화카페,카페 : 있음,서울
617,리네스카페,카페,7025.0,서울특별시 동작구 사당로26길 111 리네스카페,37.4788363,126.9780946,"바쁜 현대인들이 편안히 쉴 수 있는, 힐링을 할 수 있는 공간, 베이커리를 즐길 수 있고 북카페의 특성상 책도 즐겁게 감상할 수 있음",카페 : 있음,서울
618,와인톡,북카페,7032.0,서울특별시 동작구 상도로 282,37.50219062,126.948117,-,카페 : 있음,서울
619,상도중앙작은도서관북카페,북카페,6951.0,서울특별시 동작구 상도로15길 47 1층,37.50277978,126.9342894,-,"카페 : 있음, 리뷰여부 : 있음",서울
620,대륙서점,일반서점,7044.0,서울특별시 동작구 성대로 40 1층대륙서점,37.49894199,126.9332924,"다양한 국내외도서 취급, 간단한음료들과 각종 문화행사 개최","주차 : 가능, 카페 : 있음",서울
621,오누이,카페,7068.0,서울특별시 동작구 시흥대로 676 혜석빌딩,37.49170078,126.9091576,"품격있는 박물관의 컨셉, 대리석 마감으로 은은하고 고급스러운 분위기에 그림들과 책들이 공간을 한층 더 꾸며줌","주차 : 가능, 카페 : 있음",서울
622,데어이즈북스,일반서점,4171.0,서울특별시 마포구 도화2길 27 3층 - 4층,37.53953108,126.9494717,"도시생활자를 위한 인문책방, 그림책방","화장실 남녀구분 : 구분, 카페 : 있음",서울
623,로뎀나무밑,북카페,4087.0,서울특별시 마포구 독막로 176,37.5356578,126.9442619,도심 속 숲에서 즐기는 커피와 맥주를 동시 즐길 수 있는 공간,카페 : 있음,서울
624,이루리북스,아동서점,4157.0,서울특별시 마포구 독막로 320 태영데시앙루브 B105호,37.54296432,126.9478732,아동그림책 전문점,"주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음",서울
625,책과 밤 낮,일반서점,4073.0,서울특별시 마포구 독막로 54 2층 책과 밤 낮,37.54771884,126.9192205,북카페 겸 와인바,"화장실 남녀구분 : 구분, 카페 : 있음",서울
626,문학살롱 초고,카페,4071.0,서울특별시 마포구 독막로2길 30,37.55507871,126.9188188,여러 분야의 창작자들이 운영하는 '서점X칵테일바',카페 : 있음,서울
627,카페투니온,북카페,4047.0,서울특별시 마포구 독막로3길 28-17,37.56502844,126.9172022,"스타 웹툰 작가님 들의 북토크쇼 및 팬미팅, 강좌, 대담 등의 행사 동영상을 발송",카페 : 있음,서울
628,다산북살롱,카페,4044.0,서울특별시 마포구 독막로3길 39 2층 다산빌딩 2층 다산북살롱,37.54726979,126.9142755,"다산북스가 운영하는 콘텐츠 카페, 독서, 공부, 모임, 세미나, 워크숍 및 책과 관련된 모든 활동이 이루어지는 곳","화장실 남녀구분 : 구분, 카페 : 있음",서울
629,서사 당신의 서재,일반서점,4029.0,서울특별시 마포구 동교로12길 3 2층,37.56182635,126.9158203,"서재를 컨셉으로 만든 카페, 또한 삶의 맥락, 브랜드 경험, 생각의 발견이라는 주제를 선정하여 독서모임 실행",카페 : 있음,서울
630,번역가의 서재,일반서점,3998.0,서울특별시 마포구 동교로17길 67 101호,37.55763878,126.9142557,양질의 번역서와 해외 출판물을 소개하는 동네 책방,카페 : 있음,서울
631,카페 스케치북,카페,4030.0,"서울특별시 마포구 동교로22길 14 1층, 2층",37.56093518,126.9257218,"독서활동 장소, 브런치를 즐길 수 있음",카페 : 있음,서울
632,공상온도,일반서점,3992.0,서울특별시 마포구 동교로23길 40 지하,37.5576445,126.9197902,"금, 토는 정오~자정 영업. 복합 문화 공간",카페 : 있음,서울
633,북카페산책 고용플러스점,북카페,4157.0,서울특별시 마포구 마포대로 63-8 삼창주택 4층,37.5356578,126.9442619,고용보험센터 내 카페,"카페 : 있음, 리뷰여부 : 있음",서울
634,테이스티,북카페,4178.0,서울특별시 마포구 마포대로4다길 31,37.55376837,126.9299006,독서활동 장소,카페 : 있음,서울
635,공간 산마루,카페,4187.0,서울특별시 마포구 만리재로 74 신공덕2차 삼성래미안 상가1층,37.55280031,126.9144282,"건강한 음료와 책, 그리고 공간제공을 통해 다양한 소규모 클래스, 모임, 플리마켓, 전시, 여러 지원프로그램등을 기획","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음",서울
636,카페홈즈,북카페,3964.0,서울특별시 마포구 망원로 73 2층,37.55730477,126.9298574,독서활동 장소,카페 : 있음,서울
637,북카페산책 상암점,북카페,3911.0,서울특별시 마포구 매봉산로 18 창업복지관 1층,37.57417458,126.8899464,독서활동 장소,카페 : 있음,서울
638,북카페산책 산학협력센터점,북카페,3909.0,서울특별시 마포구 매봉산로 37 산학협력센터 1층,37.5669186,126.9018209,독서활동 장소,카페 : 있음,서울
639,산책3호점,북카페,3909.0,서울특별시 마포구 매봉산로 37,37.57711177,126.8873333,독서활동 장소,카페 : 있음,서울
640,커피랑도서관 서강대점,스터디카페,4109.0,서울특별시 마포구 백범로 28 제2서강빌딩 B1,37.55164147,126.9186268,"2000여권의 도서 보유 및 대여 가능, 이용시간내 핸드드립 외 각종차 무료 제공, 사물함 이용가능","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음",서울
641,허부북카페,북카페,3905.0,서울특별시 마포구 상암산로1길 15,37.57711177,126.8873333,독서활동 장소,"카페 : 있음, 리뷰여부 : 있음",서울
642,산책,북카페,3974.0,서울특별시 마포구 성미산로17길 79 서울공공주택연남동희망원룸,37.56177197,126.9155419,-,카페 : 있음,서울
643,서점 리스본,독립서점,3979.0,서울특별시 마포구 성미산로23길 60,37.56608962,126.9200531,"생일책, 비밀책 등 다양한 테마가 있는 서점",카페 : 있음,서울
