ANALS_TRGET_YEAR,ANALS_TRGET_MT,AREA_NM,AGE_FLAG_NM,SEXDSTN_FLAG_NM,LON_CO,LON_MBER_CO,READ_QY
2020,03,부산광역시,50대,여자,2283,599,3.811
2020,03,부산광역시,60대이상,남자,1153,310,3.719
2020,03,부산광역시,60대이상,여자,881,204,4.319
2020,03,서울특별시,영유아(0-5),남자,1244,162,7.679
2020,03,서울특별시,영유아(0-5),여자,1321,168,7.863
2020,03,서울특별시,유아(6-7),남자,2442,338,7.225
2020,03,서울특별시,유아(6-7),여자,2981,308,9.679
2020,03,서울특별시,초등(8-13),남자,9589,1634,5.868
2020,03,서울특별시,초등(8-13),여자,10856,1847,5.878
2020,03,서울특별시,청소년(14-19),남자,2090,599,3.489
2020,03,서울특별시,청소년(14-19),여자,3304,959,3.445
2020,03,서울특별시,20대,남자,1885,617,3.055
2020,03,서울특별시,20대,여자,5595,1977,2.83
2020,03,서울특별시,30대,남자,5821,1102,5.282
2020,03,서울특별시,30대,여자,17930,3896,4.602
2020,03,서울특별시,40대,남자,15767,3094,5.096
2020,03,서울특별시,40대,여자,35528,7768,4.574
2020,03,서울특별시,50대,남자,3991,1003,3.979
2020,03,서울특별시,50대,여자,5835,1601,3.645
2020,03,서울특별시,60대이상,남자,2646,602,4.395
2020,03,서울특별시,60대이상,여자,2633,586,4.493
2020,03,세종특별자치시,영유아(0-5),남자,0,0,
2020,03,세종특별자치시,영유아(0-5),여자,0,0,
2020,03,세종특별자치시,유아(6-7),남자,0,0,
2020,03,세종특별자치시,유아(6-7),여자,0,0,
2020,03,세종특별자치시,초등(8-13),남자,52,1,52
2020,03,세종특별자치시,초등(8-13),여자,3,1,3
2020,03,세종특별자치시,청소년(14-19),남자,1,1,1
2020,03,세종특별자치시,청소년(14-19),여자,0,0,
2020,03,세종특별자치시,20대,남자,0,0,
2020,03,세종특별자치시,20대,여자,0,0,
2020,03,세종특별자치시,30대,남자,0,0,
2020,03,세종특별자치시,30대,여자,14,2,7
2020,03,세종특별자치시,40대,남자,8,2,4
2020,03,세종특별자치시,40대,여자,10,2,5
2020,03,세종특별자치시,50대,남자,16,2,8
2020,03,세종특별자치시,50대,여자,6,1,6
2020,03,세종특별자치시,60대이상,남자,3,1,3
2020,03,세종특별자치시,60대이상,여자,0,0,
2020,03,울산광역시,영유아(0-5),남자,305,48,6.354
2020,03,울산광역시,영유아(0-5),여자,637,81,7.864
2020,03,울산광역시,유아(6-7),남자,509,73,6.973
2020,03,울산광역시,유아(6-7),여자,1020,128,7.969
2020,03,울산광역시,초등(8-13),남자,3363,450,7.473
2020,03,울산광역시,초등(8-13),여자,4842,642,7.542
2020,03,울산광역시,청소년(14-19),남자,747,188,3.973
2020,03,울산광역시,청소년(14-19),여자,1272,339,3.752
2020,03,울산광역시,20대,남자,408,115,3.548
2020,03,울산광역시,20대,여자,937,275,3.407
2020,03,울산광역시,30대,남자,1485,252,5.893
2020,03,울산광역시,30대,여자,5500,894,6.152
2020,03,울산광역시,40대,남자,3711,600,6.185
2020,03,울산광역시,40대,여자,9186,1529,6.008
