ANALS_TRGET_YEAR,ANALS_TRGET_MT,AGE_FLAG_NM,KWRD_RANK_CO,KWRD_NM,FQ_CO
"2021","12","30대","96","인기","278"
"2021","12","30대","99","그리스","277"
"2021","12","30대","100","자존감","273"
"2021","12","40대","1","과학","2049"
"2021","12","40대","2","아이","1602"
"2021","12","40대","3","사람","1520"
"2021","12","40대","4","어린이","1277"
"2021","12","40대","5","투자","1264"
"2021","12","40대","6","세계","1211"
"2021","12","40대","7","역사","1091"
"2021","12","40대","8","공부","1041"
"2021","12","40대","9","실험","1028"
"2021","12","40대","10","발명","965"
"2021","12","40대","11","다양","963"
"2021","12","40대","12","만화","958"
"2021","12","40대","13","시작","954"
"2021","12","40대","14","독자","948"
"2021","12","40대","15","원리","860"
"2021","12","40대","16","학습","848"
"2021","12","40대","17","자신","839"
"2021","12","40대","18","시리즈","800"
"2021","12","40대","19","아이들","774"
"2021","12","40대","20","마음","746"
"2021","12","40대","21","사랑","697"
"2021","12","40대","22","생각","695"
"2021","12","40대","23","방법","674"
"2021","12","40대","24","학습만화","659"
"2021","12","40대","25","사건","656"
"2021","12","40대","26","이유","652"
"2021","12","40대","27","대결","646"
"2021","12","40대","28","과정","639"
"2021","12","40대","29","친구","636"
"2021","12","40대","30","신화","631"
"2021","12","40대","30","한자","631"
"2021","12","40대","32","수학","617"
"2021","12","40대","32","시간","617"
"2021","12","40대","34","문제","592"
"2021","12","40대","35","이해","565"
"2021","12","40대","35","교과서","565"
"2021","12","40대","37","주인공","533"
"2021","12","40대","38","그림","516"
"2021","12","40대","39","한국사","509"
"2021","12","40대","40","시대","505"
"2021","12","40대","41","가지","502"
"2021","12","40대","42","세상","483"
"2021","12","40대","43","수상","477"
"2021","12","40대","44","모습","469"
"2021","12","40대","44","엄마","469"
"2021","12","40대","46","정보","459"
"2021","12","40대","47","미국","457"
"2021","12","40대","48","지식","448"
"2021","12","40대","49","내용","442"
"2021","12","40대","49","질문","442"
"2021","12","40대","51","핵심","439"
"2021","12","40대","52","그림책","438"
"2021","12","40대","53","생활","436"
"2021","12","40대","53","주식","436"
"2021","12","40대","53","여행","436"
"2021","12","40대","56","인생","432"
"2021","12","40대","57","일본","430"
"2021","12","40대","57","상상력","430"
"2021","12","40대","59","최고","426"
"2021","12","40대","60","필요","425"
"2021","12","40대","61","부자","424"
"2021","12","40대","62","누구","423"
"2021","12","40대","63","비밀","416"
"2021","12","40대","64","해결","412"
"2021","12","40대","65","베스트셀러","408"
"2021","12","40대","66","구성","405"
"2021","12","40대","67","이번","401"
"2021","12","40대","68","초등","391"
"2021","12","40대","69","탐정","388"
"2021","12","40대","70","변화","386"
"2021","12","40대","71","영어","379"
"2021","12","40대","72","대한민국","370"
"2021","12","40대","73","초등학교","367"
"2021","12","40대","74","읽기","365"
"2021","12","40대","75","문화","357"
"2021","12","40대","75","인간","357"
"2021","12","40대","77","한국","347"
"2021","12","40대","78","부모","345"
"2021","12","40대","79","동화","340"
"2021","12","40대","80","고민","338"
"2021","12","40대","81","위기","330"
"2021","12","40대","81","마법","330"
"2021","12","40대","83","경험","327"
"2021","12","40대","83","카카오프렌즈","327"
"2021","12","40대","85","교육","325"
"2021","12","40대","86","스토리","322"
"2021","12","40대","86","미래","322"
"2021","12","40대","88","활용","318"
"2021","12","40대","89","이론","315"
"2021","12","40대","90","유튜브","306"
"2021","12","40대","91","어른","305"
"2021","12","40대","92","학교","302"
"2021","12","40대","93","활동","291"
"2021","12","40대","94","경제","289"
"2021","12","40대","95","캐릭터","288"
"2021","12","40대","95","가족","288"
"2021","12","40대","97","대상","287"
"2021","12","40대","98","인기","286"
"2021","12","40대","99","기억","283"
"2021","12","40대","100","재미","281"
"2021","12","50대","1","사람","4061"
"2021","12","50대","2","투자","3933"
"2021","12","50대","3","자신","1684"
"2021","12","50대","4","인생","1615"
"2021","12","50대","5","세계","1572"
