,LBRRY_NM,LBRRY_ADDR,lat,lon,ONE_AREA_NM,TWO_AREA_NM,LBRRY_TY_NM
239,천안시도솔도서관,충청남도 천안시 서북구 번영로 156,36.815021,127.114115,충청남도,천안시 서북구,공공
240,천안시신방도서관,충청남도 천안시 동남구 통정4로 7,36.7744613,127.130942,충청남도,천안시 동남구,공공
241,천안시쌍용도서관,충청남도 천안시 서북구 월봉4로 153,36.8004226,127.114543,충청남도,천안시 서북구,공공
242,군포시중앙도서관,경기도 군포시 수리산로 79,37.3551341,126.9157442,경기도,군포시,공공
243,느티나무도서관,경기도 용인시 수지구 수풍로116번길 22,37.3340177,127.096092,경기도,용인시 수지구,공공
244,수원시립선경도서관,경기도 수원시 팔달구 신풍로23번길 68,37.2839131,127.010475,경기도,수원시 팔달구,공공
245,수원시립중앙도서관,경기도 수원시 팔달구 팔달산로 318,37.2735905,127.012107,경기도,수원시 팔달구,공공
246,수원시립영통도서관,경기도 수원시 영통구 청명로 151,37.2571838,127.072096,경기도,수원시 영통구,공공
247,수원시립서수원지식정보도서관,경기도 수원시 권선구 탑동로57번길 35,37.2732139,126.97201,경기도,수원시 권선구,공공
248,수원시립북수원지식정보도서관,경기도 수원시 장안구 만석로 65,37.2976867,126.9883,경기도,수원시 장안구,공공
249,수원시립태장마루도서관,경기도 수원시 영통구 태장로 46,37.2388399,127.051017,경기도,수원시 영통구,공공
250,수원시립희망샘도서관,경기도 수원시 매송고색로 620,37.2477413,126.9728911,경기도,수원시 권선구,공공
251,수원시립반달어린이도서관,경기도 수원시 영통구 반달로 45,37.2505935,127.0773347,경기도,수원시 영통구,공공
252,수원시립한아름도서관,경기도 수원시 팔달구 권광로 293,37.2741231,127.0348936,경기도,수원시 팔달구,공공
253,수원시립대추골도서관,경기도 수원시 장안구 수일로 164,37.3066694,127.008064,경기도,수원시 장안구,공공
254,수원시립한림도서관,경기도 수원시 권선구 동수원로25번길 32-52,37.2375562,127.024833,경기도,수원시 권선구,공공
255,수원시립창룡도서관,경기도 수원시 팔달구 월드컵로 381번길 36,37.2908387,127.027625,경기도,수원시 팔달구,공공
256,수원시립버드내도서관,경기도 수원시 권선구 세권로 94번길 29,37.2569221,127.01497,경기도,수원시 권선구,공공
257,수원시립광교홍재도서관,경기도 수원시 영통구 대학로 88,37.3030711,127.047418,경기도,수원시 영통구,공공
258,수원시립호매실도서관,경기도 수원시 권선구 칠보로 169,37.2663884,126.957947,경기도,수원시 권선구,공공
259,수원시립일월도서관,경기도 수원시 장안구 일월천로77,37.2868358,126.9780895,경기도,수원시 장안구,공공
260,창원중앙도서관,경상남도 창원시 의창구 용호로 50 의창도서관,35.2334598,128.679058,경상남도,창원시 의창구,공공
261,마산회원도서관,경상남도 창원시 마산회원구 3·15대로 558 마산시립회원도서관,35.224668,128.57355,경상남도,창원시 마산회원구,공공
262,마산합포도서관,경상남도 창원시 마산합포구 월영동16길 22 중고품교환판매장,35.1830846,128.562812,경상남도,창원시 마산합포구,공공
263,진해도서관,경상남도 창원시 진해구 충장로 141 진해시립중앙도서관,35.152403,128.667443,경상남도,창원시 진해구,공공
264,성산도서관,경상남도 창원시 성산구 외리로 47 성주도서관,35.2020144,128.707115,경상남도,창원시 성산구,공공
265,고양시립마두도서관,경기도 고양시 일산동구 일산로 355,37.6664887,126.782103,경기도,고양시 일산동구,공공
266,고양시립행신도서관,경기도 고양시 덕양구 행당로33번길 25-6,37.6207524,126.828326,경기도,고양시 덕양구,공공
267,고양시립원당도서관,경기도 고양시 덕양구 호국로790번길 87,37.6562321,126.838837,경기도,고양시 덕양구,공공
268,고양시립백석도서관,경기도 고양시 일산동구 일산로 118,37.6472487,126.793775,경기도,고양시 일산동구,공공
269,고양시립화정도서관,경기도 고양시 덕양구 은빛로77번길 8,37.637831,126.837192,경기도,고양시 덕양구,공공
270,삽교공공도서관,충청남도 예산군 삽교읍 두리별리길 34,36.6921266,126.7432121,충청남도,예산군,공공
271,고양시립아람누리도서관,경기도 고양시 일산동구 중앙로 1286,37.6615541,126.7745,경기도,고양시 일산동구,공공
272,고양시립주엽어린이도서관,경기도 고양시 일산서구 주엽로 104,37.6684857,126.756534,경기도,고양시 일산서구,공공
273,고양시립행신어린이도서관,경기도 고양시 덕양구 소원로181번길 42,37.6147771,126.843475,경기도,고양시 덕양구,공공
274,고양시립화정어린이도서관,경기도 고양시 덕양구 화신로 323,37.6328887,126.826242,경기도,고양시 덕양구,공공
275,고양시립대화도서관,경기도 고양시 일산서구 일산로 689,37.6809678,126.753923,경기도,고양시 일산서구,공공
276,고양시립한뫼도서관,경기도 고양시 일산서구 탄중로 284,37.6935842,126.776286,경기도,고양시 일산서구,공공
277,고양시립풍동도서관,경기도 고양시 일산동구 숲속마을로 108,37.6705562,126.795196,경기도,고양시 일산동구,공공
278,고양시립식사도서관,경기도 고양시 일산동구 위시티2로 43-6,37.6760845,126.815918,경기도,고양시 일산동구,공공
279,고양시립덕이도서관,경기도 고양시 일산서구 하이파크로 128,37.7029746,126.754531,경기도,고양시 일산서구,공공
280,고양시립신원도서관,경기도 고양시 덕양구 신원2로 24,37.6663747,126.886347,경기도,고양시 덕양구,공공
281,고양시립삼송도서관,경기도 고양시 덕양구 덕수천1로 73,37.6488432,126.884639,경기도,고양시 덕양구,공공
282,고양시립가좌도서관,경기도 고양시 일산서구 가좌3로 16,37.6861719,126.7202262,경기도,고양시 일산서구,공공
283,강서구립등빛도서관,서울특별시 강서구 강서로62길 48,37.5624339,126.8423536,서울특별시,강서구,공공
284,강서구립가양도서관,서울특별시 강서구 양천로61길 101,37.559397,126.8653386,서울특별시,강서구,공공
285,강서구립곰달래도서관,서울특별시 강서구 강서로5길 50,37.5291122,126.8490778,서울특별시,강서구,공공
286,강서구립우장산숲속도서관,서울특별시 강서구 우현로 34,37.5484267,126.8418183,서울특별시,강서구,공공
287,강서영어도서관,서울특별시 강서구 곰달래로57가길 26,37.5349763,126.8604366,서울특별시,강서구,공공
288,강서구립길꽃어린이도서관,서울특별시 강서구 금낭화로24길 5,37.5786886,126.8138658,서울특별시,강서구,공공
289,강서구립꿈꾸는어린이도서관,서울특별시 강서구 공항대로 615,37.5473333,126.8731625,서울특별시,강서구,공공
290,강서구립푸른들청소년도서관,서울특별시 강서구 강서로45다길 71,37.544683,126.8351,서울특별시,강서구,공공
291,서산시립도서관,충청남도 서산시 부춘공원2로 26,36.7883115,126.4492221,충청남도,서산시,공공
