,월,지역,연령,성별,회원수,대출건수,독서량
156,1,서울특별시,40대,남자,234038,32123,7.286
157,1,서울특별시,40대,여자,421370,61944,6.802
158,1,서울특별시,50대,남자,78528,13968,5.622
159,1,서울특별시,50대,여자,84782,16972,4.995
160,1,서울특별시,60대이상,남자,62827,10340,6.076
161,1,서울특별시,60대이상,여자,48432,7822,6.192
162,1,세종특별자치시,영유아(0-5),남자,867,104,8.337
163,1,세종특별자치시,영유아(0-5),여자,240,26,9.231
164,1,세종특별자치시,유아(6-7),남자,1036,131,7.908
165,1,세종특별자치시,유아(6-7),여자,553,66,8.379
166,1,세종특별자치시,초등(8-13),남자,6554,859,7.63
167,1,세종특별자치시,초등(8-13),여자,3950,508,7.776
168,1,세종특별자치시,청소년(14-19),남자,2178,463,4.704
169,1,세종특별자치시,청소년(14-19),여자,1979,414,4.78
170,1,세종특별자치시,20대,남자,1026,247,4.154
171,1,세종특별자치시,20대,여자,1677,466,3.599
172,1,세종특별자치시,30대,남자,3247,613,5.297
173,1,세종특별자치시,30대,여자,7540,1243,6.066
174,1,세종특별자치시,40대,남자,9887,1660,5.956
175,1,세종특별자치시,40대,여자,12423,2001,6.208
176,1,세종특별자치시,50대,남자,3170,620,5.113
177,1,세종특별자치시,50대,여자,2446,511,4.787
178,1,세종특별자치시,60대이상,남자,2020,320,6.313
179,1,세종특별자치시,60대이상,여자,1382,206,6.709
180,1,울산광역시,영유아(0-5),남자,2362,341,6.927
181,1,울산광역시,영유아(0-5),여자,3972,508,7.819
182,1,울산광역시,유아(6-7),남자,2904,355,8.18
183,1,울산광역시,유아(6-7),여자,4900,611,8.02
184,1,울산광역시,초등(8-13),남자,15617,1925,8.113
185,1,울산광역시,초등(8-13),여자,21490,2800,7.675
186,1,울산광역시,청소년(14-19),남자,4976,1150,4.327
187,1,울산광역시,청소년(14-19),여자,7746,1775,4.364
188,1,울산광역시,20대,남자,3312,855,3.874
189,1,울산광역시,20대,여자,6102,1550,3.937
190,1,울산광역시,30대,남자,9713,1516,6.407
191,1,울산광역시,30대,여자,29869,4519,6.61
192,1,울산광역시,40대,남자,20022,2923,6.85
193,1,울산광역시,40대,여자,40285,6138,6.563
194,1,울산광역시,50대,남자,6761,1143,5.915
195,1,울산광역시,50대,여자,8336,1573,5.299
196,1,울산광역시,60대이상,남자,4432,664,6.675
197,1,울산광역시,60대이상,여자,3821,575,6.645
198,1,인천광역시,영유아(0-5),남자,1416,176,8.045
199,1,인천광역시,영유아(0-5),여자,1527,171,8.93
200,1,인천광역시,유아(6-7),남자,2316,266,8.707
201,1,인천광역시,유아(6-7),여자,2696,285,9.46
202,1,인천광역시,초등(8-13),남자,13480,1734,7.774
203,1,인천광역시,초등(8-13),여자,12986,1720,7.55
204,1,인천광역시,청소년(14-19),남자,5151,1193,4.318
205,1,인천광역시,청소년(14-19),여자,7874,1838,4.284
206,1,인천광역시,20대,남자,5194,1489,3.488
207,1,인천광역시,20대,여자,10424,2817,3.7
208,1,인천광역시,30대,남자,7872,1575,4.998
209,1,인천광역시,30대,여자,22847,3801,6.011
210,1,인천광역시,40대,남자,18643,3095,6.024
211,1,인천광역시,40대,여자,33114,5376,6.16
212,1,인천광역시,50대,남자,8673,1634,5.308
213,1,인천광역시,50대,여자,9102,1779,5.116
214,1,인천광역시,60대이상,남자,7616,1153,6.605
215,1,인천광역시,60대이상,여자,4228,705,5.997
216,1,전라남도,영유아(0-5),남자,1633,137,11.92
217,1,전라남도,영유아(0-5),여자,1228,95,12.926
218,1,전라남도,유아(6-7),남자,2958,247,11.976
219,1,전라남도,유아(6-7),여자,2236,206,10.854
220,1,전라남도,초등(8-13),남자,19881,1989,9.995
221,1,전라남도,초등(8-13),여자,21077,2224,9.477
222,1,전라남도,청소년(14-19),남자,5551,1142,4.861
223,1,전라남도,청소년(14-19),여자,9047,2045,4.424
224,1,전라남도,20대,남자,4797,1067,4.496
225,1,전라남도,20대,여자,8189,1903,4.303
226,1,전라남도,30대,남자,10493,1473,7.124
227,1,전라남도,30대,여자,36812,4091,8.998
228,1,전라남도,40대,남자,24573,2893,8.494
229,1,전라남도,40대,여자,46556,5502,8.462
230,1,전라남도,50대,남자,9001,1458,6.174
231,1,전라남도,50대,여자,10319,1658,6.224
232,1,전라남도,60대이상,남자,9034,1172,7.708
233,1,전라남도,60대이상,여자,4698,684,6.868
234,1,전라북도,영유아(0-5),남자,1897,172,11.029
235,1,전라북도,영유아(0-5),여자,2006,183,10.962
236,1,전라북도,유아(6-7),남자,2569,242,10.616
237,1,전라북도,유아(6-7),여자,2143,193,11.104
238,1,전라북도,초등(8-13),남자,11062,1224,9.038
239,1,전라북도,초등(8-13),여자,13017,1340,9.714
240,1,전라북도,청소년(14-19),남자,4074,836,4.873
241,1,전라북도,청소년(14-19),여자,5431,1283,4.233
242,1,전라북도,20대,남자,3259,767,4.249
243,1,전라북도,20대,여자,5568,1372,4.058
244,1,전라북도,30대,남자,6343,950,6.677
245,1,전라북도,30대,여자,18401,2367,7.774
246,1,전라북도,40대,남자,13467,1783,7.553
247,1,전라북도,40대,여자,22031,2978,7.398
248,1,전라북도,50대,남자,4302,782,5.501
249,1,전라북도,50대,여자,4826,842,5.732
250,1,전라북도,60대이상,남자,5022,742,6.768
251,1,전라북도,60대이상,여자,3268,520,6.285
252,1,제주특별자치도,영유아(0-5),남자,1492,155,9.626
253,1,제주특별자치도,영유아(0-5),여자,1132,130,8.708
254,1,제주특별자치도,유아(6-7),남자,2605,268,9.72
255,1,제주특별자치도,유아(6-7),여자,2344,256,9.156
256,1,제주특별자치도,초등(8-13),남자,11347,1393,8.146
257,1,제주특별자치도,초등(8-13),여자,12195,1519,8.028
258,1,제주특별자치도,청소년(14-19),남자,2765,606,4.563
259,1,제주특별자치도,청소년(14-19),여자,4403,981,4.488
260,1,제주특별자치도,20대,남자,2058,499,4.124
261,1,제주특별자치도,20대,여자,4301,1057,4.069
262,1,제주특별자치도,30대,남자,6721,1032,6.513
263,1,제주특별자치도,30대,여자,18680,2610,7.157
264,1,제주특별자치도,40대,남자,16600,2305,7.202
265,1,제주특별자치도,40대,여자,29689,4057,7.318
266,1,제주특별자치도,50대,남자,5528,904,6.115
267,1,제주특별자치도,50대,여자,6550,1115,5.874
268,1,제주특별자치도,60대이상,남자,4323,640,6.755
